sensor,score_ttest,rank_ttest,score_mutual_info,rank_mutual_info,score_l1_logistic,rank_l1_logistic,score_random_forest,rank_random_forest,score_shap,rank_shap,mean_rank,consensus_rank,stability,selected
sensor_124,2.0195976986664985,45.0,0.005183114004265077,122.0,0.0,196.0,0.0032777012438433705,107.0,0.0020972385663711214,65.0,107.0,80,0.0,False
sensor_173,1.4008377166627701,86.0,0.009220884412390662,90.0,0.1472086359471396,37.0,0.002334400434387069,198.0,0.0015269374672209643,126.0,107.4,81,0.03333333333333333,False
sensor_219,1.1461538284798365,110.0,0.0017510393338313612,160.0,0.026042952746453577,93.0,0.003369681945883964,100.0,0.001949777950049095,77.0,108.0,82,0.0,False
sensor_037,1.7322994575242912,64.0,0.019761382050260456,31.0,0.0,196.0,0.003640085376326178,88.0,0.001320013831334254,164.0,108.6,83,0.1,False
sensor_030,2.3922649921032892,24.0,0.005436720532915329,119.0,0.0,196.0,0.004046223195822846,65.0,0.0014012110371394795,146.0,110.0,84,0.0,False
sensor_225,0.19650747921458178,241.0,0.018858110862333577,35.0,0.11906378875670098,46.0,0.003270937918743058,108.0,0.0015180108955349166,129.0,111.8,85,0.0,False
sensor_268,0.9985745597692193,136.0,0.005931471244527309,114.0,0.007776472127614844,113.0,0.0037416818950608776,82.0,0.0015680390700510425,121.0,113.2,86,0.0,False
sensor_486,0.913779023600518,144.0,0.0004907144925581086,178.0,0.2526476563178672,15.0,0.003332503864261509,104.0,0.0015410920160521238,125.0,113.2,87,0.0,False
sensor_115,1.4625443425240443,80.0,0.0,229.0,0.0,196.0,0.004964667526027582,41.0,0.003462395090822711,28.0,114.8,88,0.0,False
sensor_184,0.10134422356980732,258.0,0.01964365605537588,32.0,0.07534684999539751,66.0,0.0032069380842999467,113.0,0.001647869540746891,109.0,115.6,89,0.03333333333333333,False
sensor_145,2.9717584878388865,14.0,0.0,229.0,0.354680205607015,9.0,0.002887222295130831,142.0,0.0011798203060719556,190.0,116.8,90,0.03333333333333333,False
sensor_269,0.019969954693684597,270.0,0.017307650994770496,42.0,0.0156971457010911,102.0,0.0032640415917594796,109.0,0.0020917814653711735,66.0,117.8,91,0.0,False
sensor_248,1.0725250736682113,123.0,0.0,229.0,0.11464524710159056,47.0,0.0033908480946149133,98.0,0.0017555554448606295,97.0,118.8,92,0.0,False
